Year,Mean,Uncertainty
1959,315.97,0.12
1960,316.91,0.12
1961,317.64,0.12
1962,318.45,0.12
1963,318.99,0.12
1964,319.62,0.12
1965,320.04,0.12
1966,321.38,0.12
1967,322.16,0.12
1968,323.04,0.12
1969,324.62,0.12
1970,325.68,0.12
1971,326.32,0.12
1972,327.45,0.12
1973,329.68,0.12
1974,330.18,0.12
1975,331.08,0.12
1976,332.05,0.12
1977,333.78,0.12
1978,335.41,0.12
1979,336.78,0.12
1980,338.68,0.12
1981,340.10,0.12
1982,341.44,0.12
1983,343.03,0.12
1984,344.58,0.12
1985,346.04,0.12
1986,347.39,0.12
1987,349.16,0.12
1988,351.56,0.12
1989,353.07,0.12
1990,354.35,0.12
1991,355.57,0.12
1992,356.38,0.12
1993,357.07,0.12
1994,358.82,0.12
1995,360.80,0.12
1996,362.59,0.12
1997,363.71,0.12
1998,366.65,0.12
1999,368.33,0.12
2000,369.52,0.12
2001,371.13,0.12
2002,373.22,0.12
2003,375.77,0.12
2004,377.49,0.12
2005,379.80,0.12
2006,381.90,0.12
2007,383.76,0.12
2008,385.59,0.12
2009,387.37,0.12
2010,389.85,0.12
2011,391.63,0.12
2012,393.82,0.12
2013,396.48,0.12
2014,398.61,0.12
2015,400.83,0.12
